수강번호,학습자ID,이름,부서,직급,회사,강좌ID,강좌명,카테고리,강사명,난이도,등록일,시작일,완료일,학습시간(시간),진행률(%),시험점수,과제점수,참여도,합격여부
E00042,L0074,직원74,기획팀,사원,회사1,C024,직무 스킬 강좌 24,언어,한강사,중급,2026-04-15,,,10,0,,,,
E00043,L0191,직원191,마케팅팀,사원,회사3,C030,기본소양 강좌 30,기술,박강사,초급,2026-05-05,2026-05-05,2026-05-10,8,100,89.0,96.0,높음,합격
E00044,L0161,직원161,마케팅팀,대리,회사2,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-06-23,2025-06-23,2025-07-04,6,100,66.0,75.0,보통,합격
E00045,L0068,직원68,마케팅팀,과장,회사1,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2025-07-13,2025-07-13,,10,14,,,,
E00046,L0193,직원193,재무팀,부장,회사2,C032,직장 예절 강좌 32,기술,정강사,고급,2025-08-05,2025-08-05,,6,35,,,,
E00047,L0076,직원76,기획팀,대리,회사1,C034,기술 강좌 34,직무 스킬,정강사,초급,2025-06-21,2025-06-21,,2,65,,,,
E00048,L0192,직원192,재무팀,대리,회사1,C031,기술 강좌 31,직무 스킬,이강사,중급,2025-10-05,2025-10-05,,12,13,,,,
E00049,L0154,직원154,마케팅팀,사원,회사2,C016,기본소양 강좌 16,리더십,정강사,중급,2025-09-26,2025-09-26,2025-09-26,4,100,74.0,82.0,높음,합격
E00050,L0148,직원148,재무팀,대리,회사3,C046,기술 강좌 46,기본소양,이강사,초급,2025-09-09,2025-09-09,,4,52,,,,
E00051,L0049,직원49,마케팅팀,사원,회사1,C044,기술 강좌 44,언어,김강사,중급,2025-09-11,2025-09-11,2025-11-09,8,100,68.0,84.0,높음,합격
E00052,L0198,직원198,기획팀,대리,회사1,C029,직장 예절 강좌 29,리더십,박강사,초급,2025-12-13,2025-12-13,2026-01-14,10,100,66.0,75.0,높음,합격
E00053,L0059,직원59,인사팀,과장,회사2,C040,언어 강좌 40,리더십,김강사,고급,2026-02-26,2026-02-26,2026-03-23,4,100,96.0,73.0,보통,불합격
E00054,L0118,직원118,재무팀,사원,회사2,C014,직장 예절 강좌 14,언어,김강사,초급,2026-02-09,2026-02-09,,4,15,,,,
E00055,L0123,직원123,영업팀,부장,회사2,C034,기술 강좌 34,직무 스킬,정강사,초급,2025-11-27,2025-11-27,2025-12-10,2,100,69.0,73.0,보통,합격
E00056,L0085,직원85,마케팅팀,대리,회사1,C004,기술 강좌 4,기본소양,이강사,초급,2025-10-07,2025-10-07,2025-11-09,6,100,82.0,90.0,낮음,합격
E00057,L0109,직원109,개발팀,사원,회사3,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2025-07-20,2025-07-20,,10,85,,,,
E00058,L0002,직원2,재무팀,부장,회사2,C013,직무 스킬 강좌 13,리더십,김강사,중급,2025-10-12,2025-10-12,,2,45,,,,
E00059,L0198,직원198,기획팀,대리,회사1,C005,기술 강좌 5,리더십,김강사,초급,2025-08-05,2025-08-05,2025-09-10,4,100,77.0,72.0,낮음,합격
E00060,L0155,직원155,기획팀,부장,회사2,C024,직무 스킬 강좌 24,언어,한강사,중급,2025-12-07,2025-12-07,2026-01-22,10,100,80.0,82.0,보통,합격
E00061,L0148,직원148,재무팀,대리,회사3,C005,기술 강좌 5,리더십,김강사,초급,2026-02-19,2026-02-19,2026-03-01,4,100,66.0,96.0,높음,합격
E00062,L0094,직원94,영업팀,주임,회사3,C031,기술 강좌 31,직무 스킬,이강사,중급,2025-07-05,2025-07-05,2025-07-28,12,100,92.0,75.0,보통,합격
E00063,L0128,직원128,마케팅팀,사원,회사3,C024,직무 스킬 강좌 24,언어,한강사,중급,2026-03-30,2026-03-30,,10,27,,,,
E00064,L0164,직원164,영업팀,과장,회사2,C039,언어 강좌 39,언어,박강사,중급,2025-08-03,2025-08-03,2025-08-08,6,100,92.0,70.0,보통,합격
E00065,L0100,직원100,기획팀,과장,회사2,C031,기술 강좌 31,직무 스킬,이강사,중급,2025-11-08,,,12,0,,,,
E00066,L0046,직원46,기획팀,대리,회사2,C030,기본소양 강좌 30,기술,박강사,초급,2026-03-09,2026-03-09,,8,19,,,,
E00067,L0129,직원129,재무팀,과장,회사1,C010,언어 강좌 10,언어,이강사,중급,2026-03-02,,,8,0,,,,
E00068,L0139,직원139,재무팀,사원,회사3,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-12-13,2025-12-13,2025-12-14,2,100,81.0,77.0,보통,합격
E00069,L0113,직원113,영업팀,사원,회사2,C022,기술 강좌 22,직장 예절,이강사,초급,2025-06-16,2025-06-16,2025-06-22,2,100,64.0,83.0,보통,합격
E00070,L0004,직원4,마케팅팀,대리,회사1,C040,언어 강좌 40,리더십,김강사,고급,2025-07-17,2025-07-17,2025-08-23,4,100,67.0,76.0,높음,합격
E00071,L0109,직원109,개발팀,사원,회사3,C048,기술 강좌 48,언어,정강사,고급,2026-04-21,2026-04-21,2026-04-30,10,100,71.0,80.0,낮음,합격
E00072,L0090,직원90,마케팅팀,사원,회사3,C020,직무 스킬 강좌 20,언어,최강사,중급,2025-07-11,2025-07-11,,2,78,,,,
E00073,L0079,직원79,개발팀,사원,회사1,C030,기본소양 강좌 30,기술,박강사,초급,2025-11-11,2025-11-11,2025-11-24,8,100,77.0,71.0,높음,합격
E00074,L0029,직원29,영업팀,사원,회사3,C012,기본소양 강좌 12,리더십,김강사,중급,2025-08-09,2025-08-09,,12,18,,,,
E00075,L0162,직원162,개발팀,주임,회사3,C044,기술 강좌 44,언어,김강사,중급,2026-02-04,2026-02-04,2026-04-02,8,100,98.0,85.0,낮음,합격
E00076,L0045,직원45,인사팀,과장,회사3,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-11-17,2025-11-17,2025-12-16,2,100,72.0,97.0,보통,불합격
E00077,L0178,직원178,영업팀,과장,회사1,C005,기술 강좌 5,리더십,김강사,초급,2026-01-22,2026-01-22,,4,71,,,,
E00078,L0111,직원111,영업팀,부장,회사2,C015,직장 예절 강좌 15,언어,최강사,중급,2026-01-16,2026-01-16,,12,19,,,,
E00079,L0200,직원200,인사팀,사원,회사3,C017,직장 예절 강좌 17,기본소양,박강사,초급,2026-03-27,2026-03-27,,8,33,,,,
E00080,L0195,직원195,인사팀,사원,회사1,C046,기술 강좌 46,기본소양,이강사,초급,2025-07-22,2025-07-22,,4,47,,,,
E00081,L0172,직원172,마케팅팀,대리,회사1,C038,직무 스킬 강좌 38,언어,한강사,중급,2025-12-30,2025-12-30,2026-01-21,8,100,62.0,87.0,보통,합격
E00082,L0005,직원5,영업팀,과장,회사2,C007,직장 예절 강좌 7,직장 예절,박강사,고급,2026-02-07,,,2,0,,,,
E00083,L0096,직원96,인사팀,대리,회사3,C036,기본소양 강좌 36,언어,박강사,중급,2026-05-08,2026-05-08,2026-05-27,2,100,76.0,82.0,낮음,합격
E00084,L0041,직원41,재무팀,과장,회사2,C049,리더십 강좌 49,직장 예절,박강사,중급,2026-03-15,2026-03-15,,6,39,,,,
E00085,L0118,직원118,재무팀,사원,회사2,C050,언어 강좌 50,기술,박강사,중급,2026-05-09,2026-05-09,2026-05-16,12,100,65.0,82.0,보통,합격
E00086,L0169,직원169,마케팅팀,부장,회사1,C030,기본소양 강좌 30,기술,박강사,초급,2025-10-02,2025-10-02,,8,45,,,,
E00087,L0178,직원178,영업팀,과장,회사1,C019,직무 스킬 강좌 19,직무 스킬,한강사,중급,2025-09-15,2025-09-15,,4,47,,,,
E00088,L0066,직원66,기획팀,주임,회사3,C012,기본소양 강좌 12,리더십,김강사,중급,2026-03-18,2026-03-18,2026-04-13,12,100,74.0,91.0,높음,합격
E00089,L0060,직원60,재무팀,대리,회사3,C027,기술 강좌 27,기술,박강사,고급,2025-08-31,2025-08-31,,8,65,,,,
E00090,L0001,직원1,마케팅팀,부장,회사3,C045,기술 강좌 45,언어,한강사,초급,2025-09-13,,,2,0,,,,
E00091,L0042,직원42,기획팀,대리,회사2,C013,직무 스킬 강좌 13,리더십,김강사,중급,2026-05-05,2026-05-05,,2,44,,,,
E00092,L0012,직원12,개발팀,부장,회사3,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-08-05,2025-08-05,2025-08-07,2,100,85.0,91.0,높음,합격
E00093,L0152,직원152,재무팀,대리,회사2,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-12-29,2025-12-29,2025-12-31,2,100,94.0,94.0,보통,합격
E00094,L0147,직원147,마케팅팀,대리,회사1,C039,언어 강좌 39,언어,박강사,중급,2026-01-09,2026-01-09,,6,40,,,,
E00095,L0076,직원76,기획팀,대리,회사1,C007,직장 예절 강좌 7,직장 예절,박강사,고급,2025-12-29,2025-12-29,,2,87,,,,
E00096,L0043,직원43,마케팅팀,사원,회사2,C016,기본소양 강좌 16,리더십,정강사,중급,2026-03-27,2026-03-27,2026-04-14,4,100,75.0,88.0,높음,불합격
E00097,L0057,직원57,인사팀,부장,회사2,C036,기본소양 강좌 36,언어,박강사,중급,2026-05-14,2026-05-14,2026-07-09,2,100,73.0,89.0,보통,합격
E00098,L0037,직원37,재무팀,부장,회사3,C036,기본소양 강좌 36,언어,박강사,중급,2025-12-22,2025-12-22,2026-01-10,2,100,80.0,76.0,보통,합격
E00099,L0031,직원31,기획팀,부장,회사2,C041,직장 예절 강좌 41,언어,한강사,고급,2025-12-12,2025-12-12,,2,86,,,,
E00100,L0125,직원125,영업팀,사원,회사1,C035,기본소양 강좌 35,직장 예절,한강사,초급,2026-05-25,2026-05-25,,2,98,,,,
E00101,L0166,직원166,인사팀,사원,회사2,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-10-24,2025-10-24,,2,60,,,,
E00102,L0009,직원9,영업팀,과장,회사3,C009,직장 예절 강좌 9,언어,이강사,중급,2026-05-11,2026-05-11,2026-06-17,10,100,92.0,72.0,보통,합격
E00103,L0127,직원127,마케팅팀,과장,회사3,C010,언어 강좌 10,언어,이강사,중급,2025-09-20,2025-09-20,,8,80,,,,
E00104,L0174,직원174,인사팀,부장,회사2,C014,직장 예절 강좌 14,언어,김강사,초급,2025-10-25,2025-10-25,2025-11-18,4,100,74.0,71.0,높음,불합격
E00105,L0165,직원165,마케팅팀,과장,회사3,C035,기본소양 강좌 35,직장 예절,한강사,초급,2026-05-07,2026-05-07,2026-07-03,2,100,76.0,96.0,보통,합격
E00106,L0071,직원71,개발팀,과장,회사2,C014,직장 예절 강좌 14,언어,김강사,초급,2025-09-21,,,4,0,,,,
E00107,L0117,직원117,마케팅팀,주임,회사3,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-07-01,2025-07-01,,2,79,,,,
E00108,L0108,직원108,영업팀,과장,회사2,C020,직무 스킬 강좌 20,언어,최강사,중급,2026-03-13,2026-03-13,2026-03-15,2,100,74.0,78.0,높음,불합격
E00109,L0134,직원134,영업팀,주임,회사2,C046,기술 강좌 46,기본소양,이강사,초급,2025-12-07,2025-12-07,2025-12-24,4,100,99.0,87.0,보통,합격
E00110,L0015,직원15,재무팀,주임,회사3,C006,리더십 강좌 6,기본소양,정강사,초급,2026-03-29,2026-03-29,,4,67,,,,
E00111,L0156,직원156,인사팀,주임,회사2,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-07-04,2025-07-04,,2,15,,,,
E00112,L0188,직원188,인사팀,대리,회사1,C029,직장 예절 강좌 29,리더십,박강사,초급,2025-07-06,2025-07-06,2025-08-08,10,100,71.0,98.0,보통,합격
E00113,L0102,직원102,기획팀,부장,회사2,C019,직무 스킬 강좌 19,직무 스킬,한강사,중급,2025-07-18,2025-07-18,,4,51,,,,
E00114,L0129,직원129,재무팀,과장,회사1,C023,리더십 강좌 23,직장 예절,박강사,중급,2025-11-05,2025-11-05,2026-01-02,10,100,86.0,81.0,낮음,합격
E00115,L0162,직원162,개발팀,주임,회사3,C017,직장 예절 강좌 17,기본소양,박강사,초급,2025-08-10,2025-08-10,,8,91,,,,
E00116,L0195,직원195,인사팀,사원,회사1,C050,언어 강좌 50,기술,박강사,중급,2026-03-02,2026-03-02,,12,20,,,,
E00117,L0136,직원136,마케팅팀,주임,회사1,C039,언어 강좌 39,언어,박강사,중급,2025-07-26,2025-07-26,,6,96,,,,
E00118,L0026,직원26,인사팀,과장,회사3,C028,직무 스킬 강좌 28,기본소양,한강사,중급,2025-10-26,2025-10-26,,6,48,,,,
E00119,L0083,직원83,기획팀,사원,회사3,C038,직무 스킬 강좌 38,언어,한강사,중급,2026-05-26,2026-05-26,2026-06-26,8,100,63.0,79.0,낮음,합격
E00120,L0104,직원104,기획팀,대리,회사1,C004,기술 강좌 4,기본소양,이강사,초급,2026-02-26,2026-02-26,,6,27,,,,
E00121,L0056,직원56,마케팅팀,대리,회사3,C044,기술 강좌 44,언어,김강사,중급,2025-10-18,2025-10-18,2025-12-09,8,100,78.0,98.0,낮음,합격
E00122,L0024,직원24,인사팀,부장,회사1,C046,기술 강좌 46,기본소양,이강사,초급,2026-01-02,2026-01-02,,4,43,,,,
E00123,L0164,직원164,영업팀,과장,회사2,C004,기술 강좌 4,기본소양,이강사,초급,2026-03-06,2026-03-06,,6,10,,,,
E00124,L0039,직원39,개발팀,대리,회사2,C004,기술 강좌 4,기본소양,이강사,초급,2025-12-27,2025-12-27,2026-02-08,6,100,95.0,90.0,높음,불합격
E00125,L0067,직원67,마케팅팀,주임,회사1,C020,직무 스킬 강좌 20,언어,최강사,중급,2025-08-12,2025-08-12,,2,41,,,,
E00126,L0015,직원15,재무팀,주임,회사3,C012,기본소양 강좌 12,리더십,김강사,중급,2025-06-16,2025-06-16,2025-08-03,12,100,82.0,83.0,높음,합격
E00127,L0154,직원154,마케팅팀,사원,회사2,C018,기본소양 강좌 18,직장 예절,박강사,고급,2025-09-16,2025-09-16,,2,76,,,,
E00128,L0187,직원187,인사팀,대리,회사2,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-10-21,2025-10-21,,2,78,,,,
E00129,L0162,직원162,개발팀,주임,회사3,C042,직무 스킬 강좌 42,직무 스킬,김강사,고급,2025-08-07,2025-08-07,2025-08-17,2,100,66.0,92.0,낮음,합격
E00130,L0170,직원170,재무팀,부장,회사2,C001,언어 강좌 1,언어,한강사,고급,2025-12-24,2025-12-24,2026-01-27,4,100,95.0,93.0,보통,합격
E00131,L0064,직원64,영업팀,사원,회사1,C014,직장 예절 강좌 14,언어,김강사,초급,2025-09-23,2025-09-23,,4,95,,,,
E00132,L0081,직원81,기획팀,부장,회사2,C001,언어 강좌 1,언어,한강사,고급,2026-04-08,2026-04-08,,4,69,,,,
E00133,L0095,직원95,영업팀,주임,회사1,C027,기술 강좌 27,기술,박강사,고급,2026-05-26,2026-05-26,2026-07-11,8,100,74.0,83.0,낮음,불합격
E00134,L0160,직원160,인사팀,부장,회사2,C049,리더십 강좌 49,직장 예절,박강사,중급,2025-06-11,2025-06-11,,6,49,,,,
E00135,L0129,직원129,재무팀,과장,회사1,C005,기술 강좌 5,리더십,김강사,초급,2026-05-29,2026-05-29,2026-07-06,4,100,71.0,83.0,높음,합격
E00136,L0181,직원181,재무팀,과장,회사1,C047,직무 스킬 강좌 47,기본소양,한강사,고급,2025-07-25,2025-07-25,,10,79,,,,
E00137,L0171,직원171,재무팀,대리,회사1,C008,직장 예절 강좌 8,기본소양,최강사,초급,2025-08-25,2025-08-25,2025-09-25,8,100,87.0,74.0,낮음,합격
E00138,L0126,직원126,마케팅팀,주임,회사3,C035,기본소양 강좌 35,직장 예절,한강사,초급,2026-04-19,2026-04-19,2026-04-19,2,100,86.0,84.0,낮음,합격
E00139,L0141,직원141,인사팀,부장,회사1,C038,직무 스킬 강좌 38,언어,한강사,중급,2026-05-26,2026-05-26,,8,61,,,,
E00140,L0174,직원174,인사팀,부장,회사2,C047,직무 스킬 강좌 47,기본소양,한강사,고급,2025-07-22,2025-07-22,,10,84,,,,
E00141,L0197,직원197,마케팅팀,주임,회사2,C002,기술 강좌 2,리더십,한강사,중급,2025-10-07,2025-10-07,,4,95,,,,
E00142,L0009,직원9,영업팀,과장,회사3,C043,직장 예절 강좌 43,기본소양,한강사,고급,2026-03-01,2026-03-01,,6,97,,,,
E00143,L0110,직원110,개발팀,과장,회사3,C038,직무 스킬 강좌 38,언어,한강사,중급,2025-09-20,2025-09-20,,8,49,,,,
E00144,L0072,직원72,인사팀,과장,회사1,C023,리더십 강좌 23,직장 예절,박강사,중급,2026-03-04,2026-03-04,2026-03-18,10,100,81.0,98.0,보통,불합격
E00145,L0096,직원96,인사팀,대리,회사3,C041,직장 예절 강좌 41,언어,한강사,고급,2026-02-18,2026-02-18,2026-03-08,2,100,88.0,78.0,높음,합격
E00146,L0126,직원126,마케팅팀,주임,회사3,C043,직장 예절 강좌 43,기본소양,한강사,고급,2026-01-31,2026-01-31,,6,42,,,,
E00147,L0040,직원40,영업팀,부장,회사1,C004,기술 강좌 4,기본소양,이강사,초급,2025-10-24,2025-10-24,,6,70,,,,
E00148,L0017,직원17,개발팀,사원,회사2,C035,기본소양 강좌 35,직장 예절,한강사,초급,2025-12-23,2025-12-23,,2,62,,,,
E00149,L0100,직원100,기획팀,과장,회사2,C012,기본소양 강좌 12,리더십,김강사,중급,2026-02-19,2026-02-19,,12,30,,,,
E00150,L0130,직원130,인사팀,주임,회사1,C021,언어 강좌 21,리더십,최강사,중급,2025-07-03,,,12,0,,,,
E00151,L0193,직원193,재무팀,부장,회사2,C001,언어 강좌 1,언어,한강사,고급,2025-10-01,2025-10-01,2025-10-08,4,100,87.0,81.0,낮음,합격
E00152,L0021,직원21,기획팀,과장,회사1,C033,리더십 강좌 33,리더십,정강사,중급,2026-04-29,2026-04-29,,4,20,,,,
E00153,L0102,직원102,기획팀,부장,회사2,C025,기술 강좌 25,기본소양,박강사,중급,2026-03-23,2026-03-23,2026-05-19,12,100,74.0,98.0,높음,합격
E00154,L0034,직원34,영업팀,대리,회사3,C026,직무 스킬 강좌 26,직장 예절,박강사,고급,2025-08-26,2025-08-26,2025-09-18,10,100,69.0,77.0,높음,합격
E00155,L0160,직원160,인사팀,부장,회사2,C023,리더십 강좌 23,직장 예절,박강사,중급,2026-03-03,2026-03-03,2026-04-27,10,100,78.0,77.0,높음,합격
E00156,L0162,직원162,개발팀,주임,회사3,C020,직무 스킬 강좌 20,언어,최강사,중급,2025-08-14,2025-08-14,,2,29,,,,
E00157,L0194,직원194,개발팀,사원,회사2,C036,기본소양 강좌 36,언어,박강사,중급,2025-06-21,2025-06-21,,2,80,,,,
E00158,L0175,직원175,개발팀,사원,회사2,C034,기술 강좌 34,직무 스킬,정강사,초급,2025-10-02,2025-10-02,2025-10-03,2,100,65.0,94.0,보통,합격
E00159,L0088,직원88,마케팅팀,사원,회사1,C025,기술 강좌 25,기본소양,박강사,중급,2025-08-06,2025-08-06,,12,84,,,,
E00160,L0079,직원79,개발팀,사원,회사1,C020,직무 스킬 강좌 20,언어,최강사,중급,2025-07-04,2025-07-04,,2,28,,,,
E00161,L0090,직원90,마케팅팀,사원,회사3,C017,직장 예절 강좌 17,기본소양,박강사,초급,2026-05-22,2026-05-22,2026-07-16,8,100,63.0,90.0,높음,합격
E00162,L0096,직원96,인사팀,대리,회사3,C044,기술 강좌 44,언어,김강사,중급,2025-07-12,2025-07-12,,8,34,,,,
E00163,L0097,직원97,재무팀,주임,회사2,C033,리더십 강좌 33,리더십,정강사,중급,2026-04-26,2026-04-26,2026-05-25,4,100,85.0,75.0,낮음,합격
E00164,L0095,직원95,영업팀,주임,회사1,C030,기본소양 강좌 30,기술,박강사,초급,2026-04-09,2026-04-09,2026-05-26,8,100,62.0,71.0,보통,합격
E00165,L0008,직원8,인사팀,대리,회사3,C045,기술 강좌 45,언어,한강사,초급,2026-04-26,,,2,0,,,,
E00166,L0010,직원10,기획팀,대리,회사3,C024,직무 스킬 강좌 24,언어,한강사,중급,2025-08-05,2025-08-05,2025-09-19,10,100,60.0,81.0,보통,합격
E00167,L0012,직원12,개발팀,부장,회사3,C006,리더십 강좌 6,기본소양,정강사,초급,2025-07-18,2025-07-18,2025-07-25,4,100,61.0,90.0,낮음,합격
E00168,L0085,직원85,마케팅팀,대리,회사1,C023,리더십 강좌 23,직장 예절,박강사,중급,2025-07-04,,,10,0,,,,
E00169,L0064,직원64,영업팀,사원,회사1,C027,기술 강좌 27,기술,박강사,고급,2026-04-15,2026-04-15,,8,47,,,,
E00170,L0149,직원149,재무팀,과장,회사3,C048,기술 강좌 48,언어,정강사,고급,2025-08-29,2025-08-29,2025-09-22,10,100,68.0,95.0,보통,합격
E00171,L0123,직원123,영업팀,부장,회사2,C032,직장 예절 강좌 32,기술,정강사,고급,2025-08-27,2025-08-27,2025-09-01,6,100,65.0,77.0,높음,합격
E00172,L0193,직원193,재무팀,부장,회사2,C034,기술 강좌 34,직무 스킬,정강사,초급,2026-04-03,,,2,0,,,,
E00173,L0114,직원114,기획팀,사원,회사1,C009,직장 예절 강좌 9,언어,이강사,중급,2026-02-08,2026-02-08,2026-02-10,10,100,65.0,96.0,보통,합격
